city,station,year,month_id,date,value,annual_avg,source_url
Дата последнего обновления: Абакан,2.0,2009,1,2009-01-01,4.6,3.0,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
15 марта 2010 Абакан,3.0,2009,1,2009-01-01,4.2,3.5,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Азов,2.0,2009,1,2009-01-01,3.2,1.8,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Ачинск,3.0,2009,1,2009-01-01,5.6,3.1,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Ачинск,4.0,2009,1,2009-01-01,6.0,3.2,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Байкальск,48.0,2009,1,2009-01-01,3.0,1.7,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Балаково,5.0,2009,1,2009-01-01,4.8,1.8,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Барнаул,1.0,2009,1,2009-01-01,7.1,3.2,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Барнаул,13.0,2009,1,2009-01-01,5.3,2.5,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Бердск,7.0,2009,1,2009-01-01,3.0,1.8,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Бийск,11.0,2009,1,2009-01-01,4.0,1.7,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Биробиджан,1.0,2009,1,2009-01-01,4.0,2.0,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Братск,2.0,2009,1,2009-01-01,7.0,3.0,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Братск,11.0,2009,1,2009-01-01,7.8,4.9,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Брянск,2.0,2009,1,2009-01-01,2.4,1.6,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Владивосток,1.0,2009,1,2009-01-01,5.6,2.6,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Владивосток,6.0,2009,1,2009-01-01,4.2,2.5,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Владикавказ,1.0,2009,1,2009-01-01,3.0,1.4,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Владимир,1.0,2009,1,2009-01-01,3.0,1.3,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Владимир,4.0,2009,1,2009-01-01,2.6,1.2,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
