city,station,year,annual_avg,source_url,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12
Дата последнего обновления: Абакан,2.0,2009,3.0,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,4.6,4.1,3.8,3.4,2.3,2.1,0.7,1.4,1.5,2.0,2.2,6.9
15 марта 2010 Абакан,3.0,2009,3.5,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,4.2,5.2,4.7,4.5,2.8,2.3,1.0,1.2,1.0,1.6,3.0,10.5
Азов,2.0,2009,1.8,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,3.2,2.4,2.0,1.9,1.2,1.4,0.8,0.6,0.7,1.0,3.3,3.5
Ачинск,3.0,2009,3.1,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,5.6,4.1,3.4,2.0,2.3,2.0,3.7,1.7,1.5,1.6,2.6,5.2
Ачинск,4.0,2009,3.2,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,6.0,3.6,3.0,2.5,2.7,2.5,3.3,1.5,1.5,2.0,4.9,5.0
Байкальск,48.0,2009,1.7,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,3.0,3.2,2.4,1.9,1.2,1.0,0.6,0.7,0.4,1.0,2.0,2.6
Балаково,5.0,2009,1.8,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,4.8,3.5,2.6,2.3,1.0,0.8,0.4,0.3,0.7,1.3,1.5,2.8
Барнаул,1.0,2009,3.2,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,7.1,5.2,4.3,2.6,3.0,1.7,3.0,1.6,1.5,1.8,2.0,4.8
Барнаул,13.0,2009,2.5,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,5.3,3.9,4.0,2.2,1.8,1.2,2.0,0.7,1.3,1.6,1.8,4.5
Бердск,7.0,2009,1.8,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,3.0,2.2,2.0,1.8,0.8,1.1,0.5,0.6,1.1,2.5,2.9,3.2
Бийск,11.0,2009,1.7,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,4.0,3.0,2.5,1.7,1.0,0.9,0.8,0.4,0.7,1.4,1.6,2.8
Биробиджан,1.0,2009,2.0,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,4.0,3.2,2.0,2.5,1.5,0.9,0.6,0.4,1.0,1.2,1.7,5.3
Братск,2.0,2009,3.0,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,7.0,2.7,4.3,4.3,2.5,2.4,0.6,0.8,0.7,3.3,3.8,4.0
Братск,11.0,2009,4.9,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,7.8,6.6,4.6,4.8,2.8,3.0,1.5,1.1,4.6,3.5,8.0,10.8
Брянск,2.0,2009,1.6,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,2.4,2.5,2.2,1.8,1.4,0.8,0.6,1.0,0.9,1.2,1.8,2.6
Владивосток,1.0,2009,2.6,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,5.6,3.6,4.1,2.5,1.8,1.2,0.4,2.0,1.8,1.9,2.5,3.5
Владивосток,6.0,2009,2.5,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,4.2,4.6,3.7,2.0,1.5,1.6,1.1,1.2,1.4,1.6,2.1,4.7
Владикавказ,1.0,2009,1.4,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,3.0,2.0,1.8,1.5,1.1,0.8,0.4,0.5,0.6,1.2,1.6,2.2
Владимир,1.0,2009,1.3,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,3.0,2.2,1.5,1.2,1.0,0.8,0.4,0.5,0.6,0.9,1.4,2.0
Владимир,4.0,2009,1.2,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,2.6,1.9,1.5,1.3,1.2,0.6,0.3,0.5,0.5,0.6,1.3,1.8
Волгоград,35.0,2009,1.7,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,2.9,3.2,2.0,1.8,1.4,0.9,0.6,0.4,1.0,1.4,1.7,2.6
Волгодонск,4.0,2009,1.5,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,3.5,3.0,2.0,1.8,0.8,0.5,0.4,0.3,0.4,1.0,1.8,3.0
Волгореченск,1.0,2009,1.5,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,2.3,3.0,2.0,1.5,1.4,0.9,0.4,0.5,1.1,1.2,1.5,2.3
Вологда,2.0,2009,2.1,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,4.4,3.4,2.5,2.0,1.2,0.9,0.4,1.3,1.6,1.7,2.8,3.5
Воркута,3.0,2009,1.7,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,3.5,3.1,2.3,1.8,1.1,1.0,0.6,0.5,1.2,1.5,1.7,2.0
Воронеж,1.0,2009,1.6,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,2.3,3.0,1.8,1.5,1.4,1.2,1.5,0.7,0.8,1.2,1.5,2.5
Воронеж,7.0,2009,1.6,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,2.0,2.2,1.5,1.3,1.2,1.3,1.7,0.8,1.1,1.5,2.0,2.8
Воскресенск,1.0,2009,1.4,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,2.2,3.2,2.1,1.5,1.2,0.6,0.6,0.8,0.6,1.1,1.4,1.8
Губкин,1.0,2009,1.7,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,3.0,2.5,2.4,1.5,1.0,3.0,0.6,0.5,1.4,1.2,1.5,2.0
Губкин,3.0,2009,1.7,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,2.2,2.0,1.6,2.3,1.8,3.0,0.7,0.6,0.7,1.0,1.8,2.2
Дзержинск,1.0,2009,2.0,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,3.8,4.1,3.0,2.4,1.7,1.1,0.4,1.3,0.8,1.0,2.0,2.5
Дзержинск,2.0,2009,1.9,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,3.3,4.0,2.5,1.8,1.4,1.5,0.9,0.6,1.0,1.1,1.8,2.8
Зима,1.0,2009,3.6,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,9.2,5.5,3.6,3.0,2.0,1.2,0.6,0.5,1.6,1.9,3.5,10.2
Зима,2.0,2009,5.0,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,11.0,10.0,6.0,4.5,2.5,1.6,1.7,1.1,2.3,2.4,4.8,12.0
Иваново,1.0,2009,2.2,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,2.8,3.0,2.1,2.2,2.0,1.7,1.8,2.2,2.2,1.4,2.5,2.0
Ижевск,6.0,2009,2.2,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,3.5,3.2,2.6,1.6,1.5,1.0,0.9,1.1,1.2,1.5,4.7,5.0
Иркутск,3.0,2009,4.5,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,8.8,5.5,4.0,3.6,2.6,1.5,1.8,2.2,3.3,2.6,6.6,11.0
Искитим,1.0,2009,3.2,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,8.3,7.7,4.0,3.5,1.8,1.0,0.9,1.4,1.3,2.3,2.3,3.5
Казань,3.0,2009,2.7,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf,5.0,4.6,3.3,3.0,2.5,1.8,1.0,0.8,1.4,1.8,2.2,4.9
